idx,raw_dtw,emb_dtw,emb_cam_dtw,is_event,date
259,1.6085183178937,1.4314495279647375,2.017532538470702,0,2024-04-18
260,1.6218516738326467,1.595882617717315,2.2960682875966048,0,2024-04-19
261,1.6666664900603123,1.6852996167624148,2.1712654835667022,0,2024-04-22
262,1.5919230534480169,1.5703438297166712,1.9555606251128574,0,2024-04-23
263,1.1247998046875003,1.314987979638017,1.662667078502302,0,2024-04-24
264,0.9103998565673828,1.044279651427969,1.31389940901782,0,2024-04-25
265,0.3852000045776368,0.6653843746429101,0.8399524967246997,0,2024-04-26
266,0.3050000270207724,0.477550256893361,0.5811186838472322,0,2024-04-29
267,0.2082609508348547,0.22673114541058342,0.26676938644426806,0,2024-04-30
268,0.14772722937844,0.12929386452463384,0.15811017220845788,0,2024-05-01
269,0.04904760633196158,0.1504577391014015,0.17791653379112016,0,2024-05-02
270,0.04904760633196158,0.1504577391014015,0.17791653379112016,0,2024-05-03
271,0.0966667447771344,0.2525062256895024,0.3237540501860653,0,2024-05-06
272,0.16545464775779015,0.37834686570524173,0.494646401154752,0,2024-05-07
273,0.230434873829717,0.5114245461527803,0.673357643290791,0,2024-05-08
274,0.3279167811075843,0.5435665320377185,0.703864916261864,0,2024-05-09
275,0.6856000137329099,0.737750341139504,0.913638760254727,0,2024-05-10
276,1.3536000061035156,0.9865120213035226,1.16416833765101,0,2024-05-13
277,1.4291999816894532,1.0193810068057436,1.187626592742363,0,2024-05-14
278,1.5471999740600586,1.0532570264974517,1.21563764852136,0,2024-05-15
279,1.413793169218919,1.141814103114328,1.285751879351479,0,2024-05-16
280,1.5078571864536836,1.305874370331263,1.3870101851346153,0,2024-05-17
281,1.6000000988995593,1.0854640458949614,1.1384902537782606,0,2024-05-20
282,1.7611539547259996,0.8767190519959951,1.0216646520290884,0,2024-05-21
283,1.9696000671386724,0.8784153978257788,1.0406463486063644,0,2024-05-22
284,2.1272000503540043,0.9208918683740431,1.0898361789614313,0,2024-05-23
285,2.256000022888184,0.9343189623639122,1.0928308221694687,0,2024-05-24
286,2.439199943542481,1.0211562911313854,1.1614489921562265,0,2024-05-27
287,2.5504000091552737,1.28311730939779,1.6835767653148803,0,2024-05-28
288,2.659599990844727,1.2284097366550681,1.574941960997748,0,2024-05-29
289,2.7587998580932624,1.1555701210277014,1.4883132086544724,0,2024-05-30
290,3.461499881744385,1.180283128903242,1.5304321378982593,0,2024-05-31
291,3.489999866485596,1.2916377228898188,1.650287379758252,0,2024-06-03
292,3.5089998722076423,1.406661452011843,1.779160141107755,0,2024-06-04
293,3.5124998569488524,1.5595605647304176,1.9767129035164188,0,2024-06-05
294,3.530999851226807,1.3362510358336215,1.7203200452253693,0,2024-06-06
295,3.536499834060669,1.2047350809218258,1.558793955141229,0,2024-06-07
296,3.5529998302459718,0.9901904265423096,1.2391909975725133,0,2024-06-10
297,3.5959998607635506,0.7403430579942488,0.9050800207909486,0,2024-06-11
298,3.6244998455047606,0.7461487771084436,0.9610412027323956,0,2024-06-12
299,3.6449998378753667,0.7730613562045405,0.9986551422250045,0,2024-06-13
300,3.668999862670899,0.6228991514682009,0.7798005345898834,0,2024-06-14
301,3.635499858856202,0.601980640584908,0.7715354933380633,0,2024-06-17
302,3.6054998397827154,0.6545698679991567,0.8409411051125576,0,2024-06-18
303,3.583499813079835,0.6513682956967577,0.8498662882222273,0,2024-06-19
304,3.5829998016357427,0.643261924420558,0.8180100965162643,0,2024-06-20
305,3.557499837875367,0.6827591981201059,0.8501557456938648,0,2024-06-21
306,3.4939998626708983,0.7736259330165929,0.933824318745771,0,2024-06-24
307,3.423999881744385,1.067004166490976,1.20472143023491,0,2024-06-25
308,3.4279998779296874,1.5845804893024888,1.9499811930957551,0,2024-06-26
309,3.514499855041504,1.631537927485794,1.9884792269130207,0,2024-06-27
310,3.6259998798370363,1.3507488397528746,1.737384252240019,0,2024-06-28
311,3.649999904632568,0.9822982103564081,1.2818389027342028,0,2024-07-01
312,3.69449987411499,0.7544551101791082,1.000959957477552,0,2024-07-02
313,3.7509998798370363,0.6160897886528105,0.7493793027027364,0,2024-07-03
314,3.7779998779296875,0.6772912613189813,0.7614768545295206,0,2024-07-04
315,3.802499866485596,0.6923600599854677,0.7798858787978477,0,2024-07-05
316,3.7894999027252196,0.7102045885761087,0.8000038137322076,0,2024-07-08
317,3.8079998970031737,0.6533365980980143,0.7604215972276892,0,2024-07-09
318,3.8249999046325684,0.6348328267372336,0.8010477531009795,0,2024-07-10
319,3.7844998836517334,0.772857698333696,0.9393973149828331,0,2024-07-11
320,3.735499858856201,0.7932917057934775,0.9869576238460512,0,2024-07-12
321,3.745499849319458,0.8219962152902762,0.9596415988533364,0,2024-07-15
322,3.726999855041504,0.8426537155479149,0.9772580247317514,0,2024-07-16
323,3.682499885559082,1.1641951989177408,1.2998368972226197,0,2024-07-17
324,3.573499917984009,1.6270281039735792,1.9414656938212917,0,2024-07-18
325,3.201818119395863,1.599994163764584,2.1380930523936845,0,2024-07-19
326,3.3123808815365745,1.6236052326732138,2.2701031050995994,0,2024-07-22
327,2.6575999069213867,1.70383524308525,2.341298832900648,0,2024-07-23
328,2.526399917602539,1.7102762760873622,2.5093243038358124,0,2024-07-24
329,2.428461478306697,1.6482616462492587,2.343663343757326,0,2024-07-25
330,2.4563998413085937,1.55453099884214,2.1270373895114143,1,2024-07-26
331,2.285599822998047,1.4537003528854304,2.054402466800755,1,2024-07-29
332,2.0688460056598372,1.3976844367612047,2.008501203888643,1,2024-07-30
333,1.9014813458478008,1.3690672783779876,1.8597306390820951,1,2024-07-31
334,1.7960001373291015,1.356958202833563,1.6945256911988968,1,2024-08-01
335,1.7288001251220704,1.3733994986986482,1.8069759814180764,1,2024-08-02
336,1.7037037037037042,1.3662071695907718,1.8023148931233663,0,2024-08-05
337,2.2807406672724975,1.5163265050051429,2.1192248641158993,0,2024-08-06
338,2.539629688969365,1.7389643808132786,2.1333307774177888,0,2024-08-07
339,2.997307777404785,1.6684090352196848,2.286606349467817,0,2024-08-08
340,3.3320001220703124,1.7448171117691607,2.394781014628587,0,2024-08-09
341,3.5329168240229287,1.5154649483793807,1.9605930411166679,0,2024-08-12
342,3.5268001174926757,1.233466601595957,1.6109906067730824,0,2024-08-13
343,2.809355151268744,0.9661828234039054,1.2784169944515393,0,2024-08-14
344,2.614643028804234,0.757376756425656,0.9999656888334679,0,2024-08-15
345,2.3482143538338796,0.5252266237709649,0.6470488498150521,0,2024-08-16
346,2.169310503992541,0.46256139898477944,0.5975679642805208,0,2024-08-19
347,2.1113333702087402,0.4706586828610881,0.621135105124536,0,2024-08-20
348,2.502307781806359,0.4723227379566381,0.6314021038308318,0,2024-08-21
349,2.3285184789586952,0.47454492742302945,0.6377601009815502,0,2024-08-22
350,2.211428471973964,0.4802994320225333,0.6876928451792333,0,2024-08-23
351,2.320370497526946,0.4770326717285057,0.6733237120421235,0,2024-08-26
352,2.2467858450753346,0.4857651345814733,0.6692135759051494,0,2024-08-27
353,2.0380001703898114,0.5200116073072806,0.647817766990237,0,2024-08-28
354,2.4656667709350586,0.5965293102178773,0.7359123716822162,1,2024-08-29
355,3.122799949645996,0.9067908943122354,1.178844092922847,1,2024-08-30
356,2.801110938743309,1.3509095874340196,1.724660646719259,1,2024-09-02
357,2.048518428096065,1.2409145973576743,1.6471667893694486,0,2024-09-03
358,1.6982757305276805,1.405277331359917,1.7643434237325617,0,2024-09-04
359,1.55407389888057,1.5414869421992896,1.874677904881597,0,2024-09-05
360,1.4538459777832036,1.5814105547371968,1.9031564844727364,0,2024-09-06
361,1.5457690312312204,1.5637765130428412,1.9400815971929914,0,2024-09-09
362,1.5119229830228371,1.6149062036094466,2.0526399574572136,0,2024-09-10
363,1.5634614504300637,1.6848082156589388,2.2441837744216295,0,2024-09-11
364,1.67807700083806,1.3863598938361006,1.8330282315398674,0,2024-09-12
365,1.685769044435941,1.0743648321818613,1.385859700093216,0,2024-09-13
366,1.27538460951585,0.7976397781454981,0.9885275804424221,0,2024-09-16
367,1.130384591909555,0.5995673312890094,0.7620417046763986,0,2024-09-17
368,1.1407691148611212,0.6189835588856601,0.7857140299733548,0,2024-09-18
