date,is_event,concept,sign_score,positive_mass,mean_dd,cam_weighted_pos_mass
2024-12-09,0,0,0.0,0.0,-0.0010846743080592945,0.0
2024-12-10,0,0,0.0,0.0,-0.0017182552039325238,0.0
2024-12-11,1,0,0.0,0.0,-0.0017202922550809442,0.0
2024-12-12,1,0,0.0,0.0,-0.0017397437726908785,0.0
2024-12-13,1,0,0.0,0.0,-0.0017481241604577966,0.0
2024-12-16,1,0,0.0,0.0,-0.0016752919698845906,0.0
2024-12-17,1,0,0.0,0.0,-0.0016490037802746646,0.0
2024-12-18,0,0,0.0,0.0,-0.0012706284840338093,0.0
2024-12-19,0,0,0.0,0.0,-0.0014455902264218392,0.0
2024-12-20,0,0,0.0,0.0,-0.0025587139602696253,0.0
2024-12-23,0,0,0.0,0.0,-0.003248990473530422,0.0
2024-12-24,0,0,0.0,0.0,-0.004129539721006556,0.0
2024-12-25,0,0,0.0,0.0,-0.004125450400171106,0.0
2024-12-26,0,0,0.0,0.0,-0.004121319336841451,0.0
2024-12-27,0,0,0.0,0.0,-0.004109581926211785,0.0
2024-12-30,0,0,0.0,0.0,-0.004117900150931414,0.0
2024-12-31,0,0,0.0,0.0,-0.004102013431114616,0.0
2025-01-02,0,0,0.0,0.0,-0.0040624452166328024,0.0
2025-01-03,0,0,0.0,0.0,-0.004032296583668282,0.0
2025-01-06,0,0,0.0,0.0,-0.00391412140225513,0.0
2025-01-07,0,0,0.0,0.0,-0.0037552107234323736,0.0
2025-01-08,0,0,0.0,0.0,-0.0037174227281722206,0.0
2025-01-09,0,0,0.0,0.0,-0.0036605052011531346,0.0
2025-01-10,0,0,0.0,0.0,-0.0035364139759419765,0.0
2025-01-13,0,0,0.0,0.0,-0.0035074326074434046,0.0
2025-01-14,0,0,0.0,0.0,-0.00337935245202661,0.0
2025-01-15,0,0,0.0,0.0,-0.0032553615621383814,0.0
2025-01-16,0,0,0.0,0.0,-0.0032450129422612966,0.0
2025-01-17,0,0,0.0,0.0,-0.002440290358008998,0.0
2025-01-20,0,0,0.0,0.0,-0.001850327198068993,0.0
2025-01-21,0,0,0.0,0.0,-0.0018190364780008548,0.0
2025-01-22,0,0,0.0,0.0,-0.001882001466039704,0.0
2025-01-23,0,0,0.0,0.0,-0.001042974183746237,0.0
2025-01-24,0,0,0.0,0.0,-0.0009837270278726645,0.0
2025-01-27,0,0,0.0,0.0,-0.0009762917012685564,0.0
2025-01-28,0,0,0.0,0.0,-0.0017242178026309536,0.0
2025-01-29,0,0,0.0,0.0,-0.0017035708683896087,0.0
2025-01-30,0,0,0.0,0.0,-0.001697515188372381,0.0
2025-01-31,0,0,0.0,0.0,-0.0016837525216331904,0.0
2025-02-03,0,0,0.0,0.0,-0.0016781506553255501,0.0
